"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"e:\Instagram Clone\Eimentum\src\methods\getfollowing.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Instagram Clone\Eimentum\src\methods\getitem.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\Instagram Clone\Eimentum\src\methods\getmessages.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\Instagram Clone\Eimentum\src\methods\getpartialusers.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"e:\Instagram Clone\Eimentum\src\methods\getpostcount.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Instagram Clone\Eimentum\src\methods\getposts.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Instagram Clone\Eimentum\src\methods\getpostsforfeed.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 1, 1, 20
"e:\Instagram Clone\Eimentum\src\methods\getuser.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\Instagram Clone\Eimentum\src\methods\getusers.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"e:\Instagram Clone\Eimentum\src\methods\isconnection.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\Instagram Clone\Eimentum\src\methods\setfollowers.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\Instagram Clone\Eimentum\src\methods\updatelikes.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"e:\Instagram Clone\Eimentum\src\methods\uploadstories.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 3, 58
